source_row,variant_code,field,original_value,stored_value,reason
10729,vmm-dbf74b003b4918fc260fbcd87f652158d441e4851b8f6807fafc315202d66ce9,power_hp,476.5,477,ROUNDED_FOR_INTEGER_STORAGE
10829,vmm-16a216ee9c6d36f13fea1e32d3c5c1887d55cadb07b2e848f4b8e504bc8b2840,power_hp,425.8,426,ROUNDED_FOR_INTEGER_STORAGE
10830,vmm-fbc529ee3de97b700289e9484cb507e261d98791e579057bb0b7f9361e35bef1,power_hp,425.8,426,ROUNDED_FOR_INTEGER_STORAGE
10832,vmm-25d8af45a91befb9dc49ab891308dc3559d042b0b90bf70ac43d59481f14a166,power_hp,309.2,309,ROUNDED_FOR_INTEGER_STORAGE
10979,vmm-55d260221edc05d75005f29cc7345a37abe4d12cda193bde8058b6b728d363e7,power_hp,167.2,167,ROUNDED_FOR_INTEGER_STORAGE
10980,vmm-030eaab2273eb3d15f7f217cf9d9395a28f37d350a270bc197dc9985697c1cac,power_hp,167.2,167,ROUNDED_FOR_INTEGER_STORAGE
11369,vmm-ca9fafec2d99fea642aebfccfe58340baa170f263763f1cd4d68ebff55dee671,power_hp,141.9,142,ROUNDED_FOR_INTEGER_STORAGE
11370,vmm-fb2229a198d331ad376ef3783b2e6a90ee522aec34d9587a3a8870c314261faf,power_hp,141.9,142,ROUNDED_FOR_INTEGER_STORAGE
11371,vmm-02ec2ed9a8265bc4329e5631ec226dbfcb1b9c92b28497f7cc2386d69f83798f,power_hp,206.8,207,ROUNDED_FOR_INTEGER_STORAGE
11372,vmm-48c262ac2ba462e9292943ed0a51b72d5e87463a46ce582deae3e61aeaf2835f,power_hp,141.9,142,ROUNDED_FOR_INTEGER_STORAGE
11373,vmm-cf2e508c5cd850a9db1703c1041e42846cef7915f3f64f3b8de05a5a3c0c5d4d,power_hp,141.9,142,ROUNDED_FOR_INTEGER_STORAGE
